Company,Symbol,Weight,Price
FLIR Systems Inc.,FLIR,0.019939,30.68
Diamondback Energy Inc.,FANG,0.019927,25.06
Comerica Incorporated,CMA,0.019745,27.28
Kimco Realty Corporation,KIM,0.018739,8.37
IPG Photonics Corporation,IPGP,0.018196,105.43
Sealed Air Corporation,SEE,0.017983,24.5
Mosaic Company,MOS,0.017585,10.22
National Oilwell Varco Inc.,NOV,0.017501,9.38
HollyFrontier Corporation,HFC,0.017308,21.63
Fox Corporation Class B,FOX,0.017048,21.53
Xerox Holdings Corporation,XRX,0.01681,17.69
Tapestry Inc.,TPR,0.016684,11.06
SL Green Realty Corp.,SLG,0.016567,39.6
Alaska Air Group Inc.,ALK,0.016337,26.23
Invesco Ltd.,IVZ,0.016315,8.01
Leggett & Platt Incorporated,LEG,0.016086,24.44
DXC Technology Co.,DXC,0.015944,11.97
News Corporation Class A,NWSA,0.015672,8.65
Ralph Lauren Corporation Class A,RL,0.015519,65.87
Unum Group,UNM,0.014604,13.18
Discovery Inc. Class A,DISCA,0.014259,19.35
Flowserve Corporation,FLS,0.014249,23.01
Harley-Davidson Inc.,HOG,0.014004,17.14
Noble Energy Inc.,NBL,0.013559,5.95
Hanesbrands Inc.,HBI,0.013294,7.38
TechnipFMC Plc,FTI,0.013202,6.57
H&R Block Inc.,HRB,0.013143,12.96
PVH Corp.,PVH,0.012994,32.59
Devon Energy Corporation,DVN,0.012496,6.67
Marathon Oil Corporation,MRO,0.012336,3.12
L Brands Inc.,LB,0.012091,10.01
Norwegian Cruise Line Holdings Ltd.,NCLH,0.011038,9.56
'Kohl''s Corporation',KSS,0.010828,12.93
Helmerich & Payne Inc.,HP,0.008036,14.07
Under Armour Inc. Class A,UAA,0.007804,8.31
Capri Holdings Limited,CPRI,0.007648,8.93
Nordstrom Inc.,JWN,0.007519,13.2
Apache Corporation,APA,0.007288,4.03
Under Armour Inc. Class C,UA,0.007276,7.41
Coty Inc. Class A,COTY,0.007227,4.51
Gap Inc.,GPS,0.007067,5.86
'Macy''s Inc',M,0.007047,4.45
Alliance Data Systems Corporation,ADS,0.006431,31.09
News Corporation Class B,NWS,0.005169,8.6
